,Model,Medialness,Angle,Orthogonality
0,finetune_40_v2,0.9703340242188881,0.19803326100514007,0.4992780119467582
0,finetune_40_v2,0.9817321929645264,0.15676471198007616,0.44393602862760057
0,finetune_40_v2,0.980252243498021,0.1665810648110898,0.4481708988774679
0,finetune_40_v2,0.9698764002819973,0.1618125724825809,0.4152246069325277
0,finetune_40_v2,0.9765190355618206,0.18728244523161053,0.5093263574513247
0,finetune_40_v2,0.9786555484373539,0.22788722717623172,0.4717282279694546
0,finetune_40_v2,0.9978110354793142,0.2543889697233336,0.5675784153977544
0,finetune_40_v2,0.9791291749750728,0.15117624976283628,0.47813408074608027
0,finetune_40_v2,0.9758192393431314,0.15206278407418158,0.4461023354126125
0,finetune_40_v2,0.9717291146975451,0.18211687419660427,0.4818248918275879
0,finetune_40_v2,0.982060660508469,0.17072298634772626,0.4262038741745045
0,finetune_40_v2,0.9705812498446166,0.1776231774569786,0.4602888698414634
0,finetune_40_v2,0.9907144575890161,0.16237851866157257,0.47503726494481513
0,finetune_40_v2,0.97562195194451,0.19857558700186703,0.4482400282991302
0,finetune_40_v2,0.9518646964187158,0.20137848170688905,0.40962819552767
0,finetune_40_v2,0.9775667329446872,0.19986618532850617,0.4869275862061695
0,finetune_40_v2,0.9684394634314188,0.16736557026970894,0.486015601478535
0,finetune_40_v2,0.9670709710451891,0.16626126396608082,0.4309567089922639
0,finetune_40_v2,0.9763753626842162,0.23638858902089327,0.47191771492171364
0,finetune_40_v2,0.9775111443827146,0.15589133609306463,0.46407505175407693
0,finetune_40_v2,0.9845528818268703,0.17869529134174153,0.4514915746231356
0,finetune_40_v2,0.9717294026679182,0.1715110494485688,0.44767872870356085
0,finetune_40_v2,0.9813838408742648,0.16612303889861546,0.48997995859361093
0,finetune_40_v2,0.9718987907220143,0.19288424165231313,0.4426879543855417
0,finetune_40_v2,0.9823748429242918,0.20457772292645504,0.5009563554213113
0,finetune_40_v2,0.9921413067446314,0.17191752250185238,0.4414911298380668
0,finetune_40_v2,0.9856337861031607,0.16122989626926637,0.4860833600454191
0,finetune_40_v2,0.9931427440282252,0.20864666014915476,0.4853673421174724
0,finetune_40_v2,0.9929114188665098,0.2582749045546627,0.47771764240423964
0,finetune_40_v2,0.9628129655414116,0.1725092021258647,0.44337732410202774
