Model,Percentage,MSE,MAE,RMSE
Simulated,0,11.42847894401853,2.8064608535661657,3.3806033402365516
finetune,50,0.11371591556902957,0.2556681614374578,0.3372179051726488
finetune,40,0.34939928210559856,0.4702426262306136,0.591100060992721
finetune,30,0.6944060596234513,0.5998945294801677,0.8333103021224754
finetune,20,0.14058887622041139,0.2868951058125075,0.37495183186698977
finetune,10,0.13863942719506392,0.2945496224158022,0.37234315784644667
scratch,50,0.10313019716235117,0.2536809928325467,0.32113890633548464
Simulated,0,8.638247743829327,2.3861511195948997,2.939089611398286
finetune,50,0.6126969498092183,0.5575635659538728,0.7827496086292336
finetune,40,0.5368685211754243,0.5394907492411332,0.7327131233814665
finetune,30,0.4928357067981884,0.5104642768997208,0.7020225828263563
finetune,20,0.43059571240175115,0.5126493130871801,0.6561979216682655
finetune,10,0.40520595184943403,0.46742506918340615,0.6365578935567715
scratch,50,0.49001191031706237,0.5073867104329345,0.7000085073176342
Simulated,0,10.94476901961526,2.8000300803841105,3.3082879287654605
finetune,50,0.3999880136829916,0.4683125115559573,0.6324460559470598
finetune,40,0.4542356377649708,0.5258979364569338,0.6739700570240275
finetune,30,0.4262071896383087,0.48822844659531106,0.6528454561673144
finetune,20,0.332027821473083,0.4485587192761772,0.5762185535654705
finetune,10,0.5528304914692416,0.5797195457320248,0.7435257167504307
scratch,50,0.30552123857982694,0.43314949588377066,0.5527397566484855
Simulated,0,7.246103631804077,2.2584199272260683,2.6918587689186215
finetune,50,0.3419543317972133,0.4037664488193101,0.5847686138954563
finetune,40,0.2351426782080981,0.37260437245735195,0.4849151247466902
finetune,30,0.26418387767938006,0.36403354217611383,0.513988207724049
finetune,20,0.4220930651173967,0.4585228094508353,0.6496868977572171
finetune,10,0.3875874836632869,0.48480453639185117,0.622565244503166
scratch,50,0.22093712141499178,0.3566576002868831,0.470039489208079
Simulated,0,9.78920647938576,2.5464698363898446,3.128770761718691
finetune,50,0.39588834435647346,0.45572570073948093,0.629196586415147
finetune,40,0.20964241854053176,0.3588801289349277,0.4578672499104208
finetune,30,0.13169384601174722,0.2877782029206782,0.3628964673453673
finetune,20,0.18545119622747153,0.3460666490044008,0.4306404488984651
finetune,10,0.2922084420467835,0.4220531744716557,0.5405630786936743
scratch,50,0.2938379356541113,0.3874265563181034,0.5420682020319134
Simulated,0,12.020857712019582,2.915820228428466,3.467110859493763
finetune,50,0.25920970917830666,0.4023729856412812,0.5091264176786613
finetune,40,0.4581970347463319,0.5047153901502148,0.6769025297236907
finetune,30,0.8313096290857707,0.6662191601376876,0.9117618269514087
finetune,20,0.5753996700904945,0.5517567712359315,0.7585510332802233
finetune,10,0.5692568105974387,0.5541752044338404,0.7544910937827157
scratch,50,0.4704845000866875,0.4878414980942943,0.6859187270272532
Simulated,0,10.561792971919001,2.545187111342938,3.249891224628757
finetune,50,0.47964076115960186,0.5342978909283587,0.6925610161997294
finetune,40,0.24870280661941485,0.39895986279565837,0.49870111952893675
finetune,30,0.26727274375293275,0.392790146494932,0.5169842780519855
finetune,20,0.21819232965846588,0.36581250273090804,0.46711061822491884
finetune,10,0.2553841365165124,0.4115611645080831,0.5053554556117035
scratch,50,0.32236860424917085,0.43277468459627677,0.5677751352861191
Simulated,0,8.101441931534369,2.2351127382347094,2.84630320442752
finetune,50,0.29306161378847284,0.40826351483830925,0.5413516544617489
finetune,40,0.1763314222910939,0.31696540995614436,0.41991835193415145
finetune,30,0.1856744152553297,0.33541680316230577,0.43089954195302843
finetune,20,0.2142058520707634,0.34737369388107553,0.46282378079649644
finetune,10,0.2921205768530821,0.4066615591569737,0.5404818006677765
scratch,50,0.2008254245075065,0.3442249655073315,0.44813549793283114
Simulated,0,10.676871534101341,2.7164879950650365,3.267548245106924
finetune,50,0.37178829028787425,0.44737219537295214,0.6097444467052359
finetune,40,0.22318049119668282,0.3747550624438093,0.4724198251520387
finetune,30,0.175599490001267,0.3361912224551764,0.41904592827191034
finetune,20,0.31038878153791066,0.42759800514086965,0.5571254630134138
finetune,10,0.2118983175572624,0.35906879129332153,0.46032414400861316
scratch,50,0.2140836166439652,0.36176230145529403,0.4626917079913635
Simulated,0,11.115638744925707,2.800415474953431,3.334012409233911
finetune,50,0.13516790465016465,0.28197825572225066,0.367651879704381
finetune,40,0.1891023226339551,0.34361657852043104,0.43485896867140167
finetune,30,0.19613740242502203,0.33876204521783304,0.4428740254576035
finetune,20,0.24186970739625596,0.36988009060615323,0.4918025085298528
finetune,10,0.14708292222481462,0.29754447206265194,0.3835139139911545
scratch,50,0.19984186696951672,0.35493375190362714,0.4470367624362864
Simulated,0,11.59285349970691,2.8265586926159756,3.404827969179487
finetune,50,0.36264530950568974,0.46842760797663396,0.6022003898252556
finetune,40,0.5582325882375893,0.5375474532038024,0.7471496424663464
finetune,30,0.4363713296987812,0.4894210035597802,0.660584082232369
finetune,20,0.24370888595480433,0.3714813767154592,0.49366880188523593
finetune,10,0.615878456032535,0.5719505166401337,0.7847792403170046
scratch,50,0.28263437565745997,0.41955409980570196,0.5316336855932475
Simulated,0,14.816323826924954,3.212517242923019,3.8491978160293288
finetune,50,0.17506175820338793,0.33488013202651273,0.4184038219273193
finetune,40,0.29390890895803234,0.4184805732044022,0.5421336633691293
finetune,30,0.3391122601651812,0.44605212483710627,0.5823334613133451
finetune,20,0.3195321014527049,0.43367713359913707,0.5652717058660418
finetune,10,0.3560084958723042,0.45690736948721994,0.5966644751217423
scratch,50,0.7783732592716697,0.6681772113034462,0.8822546453670106
Simulated,0,11.570233537350228,2.798503012842941,3.4015045990488133
finetune,50,0.5535339428595659,0.5827989601373982,0.7439986175118647
finetune,40,0.6116163108826393,0.5711894475892477,0.7820590200762596
finetune,30,1.0380862613613868,0.7388209908597545,1.018865183113736
finetune,20,0.7322732240799253,0.6257122722999136,0.8557296442685186
finetune,10,0.31266940149148903,0.43406714654218786,0.5591684911468895
scratch,50,0.679783415243706,0.6120961899742859,0.8244897908668767
Simulated,0,8.746915396389374,2.2858388877000486,2.9575184524173936
finetune,50,1.428095547169678,0.8705903018646902,1.1950295172796688
finetune,40,1.6676793194629753,0.9143315812140377,1.2913865879212836
finetune,30,1.1853580380734727,0.8207074074896148,1.0887414927674397
finetune,20,1.1162780860733459,0.7839791607418546,1.0565406220649285
finetune,10,1.1036104810332776,0.7587647211290299,1.0505286674019314
scratch,50,0.6675338383866452,0.6185764756098656,0.817027440412282
Simulated,0,10.745843716706261,2.6771900569042466,3.278085373614644
finetune,50,1.1442838307701175,0.6644144413388821,1.06971203170298
finetune,40,0.6636445735487367,0.5946746450081772,0.8146438323271936
finetune,30,0.4561505590582648,0.4869775434812144,0.6753891908065044
finetune,20,0.44576088690088334,0.4883267798939168,0.6676532684716546
finetune,10,0.31650732829198475,0.4224350165733977,0.5625898401961991
scratch,50,0.45104088429898775,0.46518602709323875,0.6715957744796998
Simulated,0,12.31623933175135,2.9148265041567845,3.509450004167512
finetune,50,0.6707241498772584,0.5458254896248165,0.8189775026685766
finetune,40,0.39848011624709295,0.48093482098226376,0.6312528148429066
finetune,30,0.2394616722699912,0.36798661711642083,0.48934821167548087
finetune,20,0.5767632982425336,0.5250882119898466,0.7594493388255293
finetune,10,0.44555781254677873,0.48778668559803473,0.6675011704459991
scratch,50,0.6156136275759589,0.5339577875410584,0.784610494179092
Simulated,0,5.686582324481279,1.8437165300310896,2.3846555987146822
finetune,50,0.3187756880674921,0.4462347185509554,0.5646022388084306
finetune,40,0.6369950227858905,0.6118417775810536,0.798119679487914
finetune,30,0.8748738244617378,0.6489496555963863,0.9353469005998458
finetune,20,0.5905637845790765,0.5720285126353052,0.768481479659124
finetune,10,0.6123100967719344,0.5742775231889052,0.7825024579973755
scratch,50,0.7638555734301864,0.6058836948685545,0.8739883142412068
Simulated,0,8.797990980794065,2.432407807308575,2.9661407553914336
finetune,50,0.1387073412860771,0.29919904054085067,0.3724343449335427
finetune,40,0.2830386941719543,0.42592318803526147,0.5320138101327393
finetune,30,0.2864949851079418,0.4317271182650351,0.535252263057282
finetune,20,0.3131108230196955,0.4559773946120311,0.5595630643812147
finetune,10,0.23283053442225518,0.380443041608434,0.4825251645481872
scratch,50,0.29758036496375134,0.4410289867072664,0.5455092711987133
Simulated,0,7.079499018020517,2.0778660126257678,2.6607327971858648
finetune,50,0.3197719952642529,0.4217528207585831,0.5654838594197477
finetune,40,0.8841267979934233,0.7139972325349017,0.9402801699458643
finetune,30,1.0243641348262014,0.6954637899827024,1.0121087564220563
finetune,20,0.5296988152309953,0.5348029844128046,0.7278041049836111
finetune,10,0.6875653771922933,0.6189734514173344,0.8291956205819548
scratch,50,0.6680962555260894,0.5912202212724905,0.8173715529219802
Simulated,0,5.651099827285046,1.8766902674981554,2.377204203951576
finetune,50,0.12162111543026187,0.27366610688117804,0.34874219049358207
finetune,40,0.29249391071723096,0.42179786422080384,0.5408270617463876
finetune,30,0.5248220177463679,0.5328517051489372,0.7244460074749312
finetune,20,0.2555357188787826,0.3917545829846638,0.5055054093467078
finetune,10,0.2849388508935117,0.4027298695640886,0.5337966381436957
scratch,50,0.172230913113101,0.32496327847386036,0.4150071241715026
Simulated,0,11.563131864238388,2.800933722124977,3.400460537079998
finetune,50,0.24931133053674798,0.39225404125636637,0.499310855616767
finetune,40,0.3250840153990628,0.4492366236274624,0.5701613941675311
finetune,30,0.2748414103493683,0.4152057039697185,0.5242531929796597
finetune,20,0.29929789163303927,0.4393899247274421,0.5470812477439153
finetune,10,0.29185115905560993,0.4351743966511693,0.5402325046270448
scratch,50,0.548108707312522,0.5738775347996761,0.7403436413669817
Simulated,0,15.680932207924975,3.2854442087713887,3.959915681921141
finetune,50,2.2864804173901825,1.0456450963442347,1.512111245044551
finetune,40,0.713021864415691,0.6335731901404558,0.844406220024279
finetune,30,0.8620988688303856,0.6914110922556365,0.9284927941725696
finetune,20,1.2701637142608133,0.8590871308017723,1.1270154010752529
finetune,10,1.6217682414349401,0.9568384341695679,1.2734866475291133
scratch,50,1.6672339112828336,0.9297529551968554,1.2912141229412082
Simulated,0,11.948454867985154,2.860174467350686,3.456653709584626
finetune,50,0.15152258060087861,0.3086738282791949,0.38925901479718955
finetune,40,0.37983581505697306,0.4690148156780646,0.6163082143351434
finetune,30,0.43823200487670994,0.5138834884305297,0.6619909401772126
finetune,20,0.5340078445713872,0.550523447188757,0.7307584036953576
finetune,10,0.5029654505486321,0.5289952213462683,0.7092005714525561
scratch,50,0.4978944841145257,0.5407070789753012,0.7056163859453135
Simulated,0,10.453794374537924,2.6562622914444987,3.2332328054963697
finetune,50,0.6489646601969105,0.5990117775083932,0.805583428452268
finetune,40,0.6320491732492645,0.5751857543016392,0.7950152031560557
finetune,30,0.47683404882432284,0.5253424278563396,0.6905317145680732
finetune,20,1.1154374632625559,0.7738734250598663,1.056142728641615
finetune,10,0.9558391660507735,0.6994728705562782,0.9776702747096147
scratch,50,1.0023758616526908,0.6981094274810749,1.0011872260734707
Simulated,0,5.320267930313304,1.7866459913243191,2.306570599464344
finetune,50,0.2464667578617549,0.3951021789066238,0.4964541850581531
finetune,40,0.353985524636809,0.45636238270937823,0.594966826501116
finetune,30,0.3352544006799816,0.46290437249087707,0.5790115721468627
finetune,20,0.2627110862087351,0.4102960736745521,0.5125534959482133
finetune,10,0.3482372646510746,0.47807753684949034,0.5901163145101773
scratch,50,0.5519070967695391,0.553055681659866,0.7429045004369936
Simulated,0,8.776796914131708,2.4697002974256503,2.9625659341408266
finetune,50,0.2711206835050714,0.4236129195351456,0.5206925037918939
finetune,40,0.5713025638896271,0.6121760640367454,0.7558455952703746
finetune,30,0.8047161822047936,0.6886208286852852,0.8970597428292018
finetune,20,1.0011907242175337,0.759154338510183,1.000595184986183
finetune,10,0.9406928185407754,0.7623805645625513,0.9698931995538351
scratch,50,1.487048007354467,0.9297740504662252,1.2194457787677428
Simulated,0,10.044375555151147,2.537427506380135,3.1692862848204717
finetune,50,0.8481833080667929,0.6540746739739424,0.9209686791996744
finetune,40,0.42892060332889753,0.5150315657656818,0.6549203030361004
finetune,30,0.32990333461100635,0.4496421005060611,0.5743721220698358
finetune,20,0.3522107715091091,0.4611289075353258,0.5934734800385854
finetune,10,0.5450460118524295,0.5790830079522371,0.7382723155126634
scratch,50,0.4646816586725178,0.5432524417113754,0.6816756256992895
Simulated,0,5.855787262473148,1.8541218829492676,2.4198733980258447
finetune,50,0.39619369377357316,0.4673809380310278,0.6294391898933313
finetune,40,0.21271999492363353,0.3706246343773028,0.4612157791355729
finetune,30,0.22736895414736025,0.35940043719625764,0.4768322075398853
finetune,20,0.30002368230473925,0.41936891679230576,0.5477441759660611
finetune,10,0.46758631597488065,0.5234281373153941,0.6838028341377949
scratch,50,0.3327997523496939,0.4104269796094045,0.5768879894309586
Simulated,0,10.98842691903948,2.7053433304648746,3.3148796236122178
finetune,50,0.32176885260157945,0.4055355965781806,0.5672467299170436
finetune,40,0.14309858331551079,0.29648026899973223,0.3782837338764526
finetune,30,0.12674443146760409,0.2856232442781792,0.356011841751934
finetune,20,0.12415427507119896,0.2772936502946422,0.3523553250217725
finetune,10,0.21118539821135116,0.34890074790399794,0.4595491249163153
scratch,50,0.17756753362198882,0.30847012860815376,0.4213876287006879
Simulated,0,7.5809566278705915,2.180619894686804,2.753353705550849
finetune,50,0.5801785851208555,0.5978319720436485,0.7616945484384509
finetune,40,1.1085431568154958,0.8063950237390364,1.0528737611012517
finetune,30,1.333132913456684,0.8630756381394513,1.1546137507654601
finetune,20,1.1319806330925,0.7918813017984175,1.0639457848464366
finetune,10,1.4383614016589195,0.8718339807805464,1.1993170563528726
scratch,50,1.787821744575075,0.979478494109125,1.3370945159468253
Simulated,0,10.134306779258319,2.621086142590458,3.1834425987063626
finetune,50,0.32293233629220436,0.4511283382885311,0.5682713579727596
finetune,40,0.6001092913176626,0.594989254244996,0.7746672132713909
finetune,30,0.48765983385108075,0.5396410319254241,0.6983264522063307
finetune,20,1.330352609984348,0.8544854473598525,1.1534091251521934
finetune,10,1.070258345792222,0.7770084956433528,1.0345329118941657
scratch,50,0.6371422594363283,0.5784753863962264,0.7982119138651892
Simulated,0,9.26638250438584,2.5368405441510986,3.044073340835572
finetune,50,0.2738041972755842,0.4143053316958124,0.5232630287681179
finetune,40,0.35838752522899653,0.4756786047711193,0.5986547629719458
finetune,30,0.7573152279315941,0.6703435661265298,0.8702386040228244
finetune,20,0.5852705895294789,0.6015586262545661,0.7650297964978089
finetune,10,0.5635808439791142,0.5956100190340707,0.7507202168445407
scratch,50,0.5727286138943641,0.5917213621037906,0.7567883547560468
Simulated,0,7.488120398542144,2.2710949326625705,2.7364430194217717
finetune,50,0.3084505742935361,0.4018030067461123,0.5553832679272361
finetune,40,0.28155228423228407,0.4060279612775491,0.5306150056606805
finetune,30,0.18379742021052778,0.3247603378293732,0.4287160134757364
finetune,20,0.18313490710856997,0.3247509606926653,0.4279426446482869
finetune,10,0.34640490825091164,0.4256230825260403,0.5885617284966053
scratch,50,0.25664739239937995,0.3576529885888692,0.5066037824566453
Simulated,0,9.18272352507095,2.5203889620399207,3.030300896787471
finetune,50,0.1821560015733903,0.33723089243202437,0.42679737765524084
finetune,40,0.16385828778576716,0.3174220686764699,0.4047941301276084
finetune,30,0.3305909013698653,0.4400825184508895,0.5749703482527297
finetune,20,0.3156723761634121,0.4212037046940711,0.5618472890060182
finetune,10,0.3092121673988621,0.41165869642617353,0.5560684916436662
scratch,50,0.1550895233508697,0.3070940638021455,0.39381407205795693
Simulated,0,14.740235883087212,3.193140120370913,3.839301483745085
finetune,50,0.4113715759752062,0.45291448255966404,0.6413825504137185
finetune,40,0.3612607288448692,0.46927286617144714,0.6010496891646058
finetune,30,0.32948907991052734,0.4281157570733048,0.5740113935372079
finetune,20,0.2759958874476772,0.39358044139260867,0.5253531073931867
finetune,10,0.578079458858586,0.5459650651143209,0.760315368027364
scratch,50,0.37336266866382223,0.4494149293042878,0.611034097791459
Simulated,0,12.645567911482653,2.9559205570755283,3.5560607294424336
finetune,50,1.121143445855058,0.6813713695922725,1.0588406139996038
finetune,40,0.7280516871909734,0.5832138345764485,0.8532594489315506
finetune,30,0.43907030552761017,0.46249431362652504,0.662623803924678
finetune,20,0.24810595231261168,0.37063044468229767,0.4981023512418022
finetune,10,0.5948404114805146,0.5552986281240513,0.7712589782171191
scratch,50,0.3767288023117044,0.435273618497498,0.6137823737382041
Simulated,0,8.552329242784452,2.3999864900414236,2.9244365684323625
finetune,50,0.40030070646692706,0.5008624533360386,0.6326932167069022
finetune,40,0.9947246625097279,0.7286078023649439,0.9973588434007732
finetune,30,1.2631725610523374,0.8068843888624723,1.123909498604019
finetune,20,1.0988924813588752,0.7533860407981539,1.0482807264081866
finetune,10,0.41891087994689497,0.4928658077360043,0.6472332500319301
scratch,50,0.9472208705262835,0.7200073298542751,0.9732527269554827
Simulated,0,11.159345656004364,2.72249960276483,3.340560679886591
finetune,50,0.5225368302725628,0.5704623102533102,0.7228670903233615
finetune,40,0.3331786723306636,0.4484407482266436,0.5772163132922211
finetune,30,0.24275895987477336,0.390215783856209,0.49270575384784515
finetune,20,0.39842604439747714,0.5046775282630115,0.6312099843930522
finetune,10,0.36250260489774266,0.4791616673463684,0.6020818921855586
scratch,50,0.3422511412581773,0.4341938101784485,0.5850223425290502
Simulated,0,8.046018161173333,2.2959826466142266,2.8365503981373807
finetune,50,0.17380007163922834,0.3158543263830477,0.4168933576338538
finetune,40,0.30362279630007993,0.42087627348950585,0.5510197785017158
finetune,30,0.32231085759268374,0.4171767967575467,0.5677242795518647
finetune,20,0.4477111131450209,0.5069267727933605,0.6691121827803025
finetune,10,0.19279870270899413,0.34295939533100983,0.43908849074986483
scratch,50,0.21135824083252244,0.34980288276428034,0.4597371431943719
Simulated,0,8.925927794478133,2.5151660934513327,2.9876291259924037
