,Model,Medialness,Angle,Orthogonality
0,GT,0.9888238201320296,0,0.49358969960685045
0,GT,0.9789010645290329,0,0.43825619868905247
0,GT,0.959108692414868,0,0.4230116497321682
0,GT,0.9767170828231152,0,0.4127876870453
0,GT,1.0314582943473365,0,0.5095676036359111
0,GT,1.047944213187797,0,0.46914619636562793
0,GT,0.969361268887501,0,0.5227508707911398
0,GT,0.9303902719431438,0,0.43436453385832985
0,GT,0.9963825523214567,0,0.4384224782295116
0,GT,1.0080672347040003,0,0.4790983424433421
0,GT,0.9985560733419492,0,0.40173182636183624
0,GT,0.9883896754829568,0,0.4461861781611795
0,GT,0.9448294224643674,0,0.4761610015631871
0,GT,0.9596829043753937,0,0.45042207659834077
0,GT,0.974635518247623,0,0.3801844482566648
0,GT,1.0355068845405602,0,0.5101574092523065
0,GT,1.0310229433702898,0,0.47823572978924883
0,GT,0.9910869939809663,0,0.42727134267631744
0,GT,0.9395007754910046,0,0.4650071236858925
0,GT,0.973645194533771,0,0.44879782607992874
0,GT,0.9575349585183263,0,0.42596743607450194
0,GT,1.036652712575592,0,0.4914184968306807
0,GT,1.0344369141676029,0,0.49542624382520706
0,GT,1.0450356660164721,0,0.4857203726824672
0,GT,1.0138674268764294,0,0.4807884925183936
0,GT,0.9828621954502661,0,0.46125098478199184
0,GT,0.9841495211611981,0,0.48643752901536563
0,GT,0.9587241383599314,0,0.5180658705735017
0,GT,0.9811093254790472,0,0.40669529493350765
0,GT,1.0257425647129117,0,0.4241343450896
0,GT,1.020581473745532,0,0.4738742307516237
0,GT,0.9821163480948681,0,0.4303454975739154
0,GT,1.0545570951254226,0,0.48617774835803573
0,GT,0.9651146886696524,0,0.490008404213538
0,GT,0.9990098822691043,0,0.46119747908708963
0,GT,0.9987377681417929,0,0.46004752342934174
0,GT,0.9687705700868349,0,0.48798286422754017
0,GT,0.9431490226349004,0,0.4789341069754861
0,GT,0.986662749666748,0,0.4286357861918303
0,GT,0.9657924428357371,0,0.5172847573257598
0,GT,0.9843679882826727,0,0.3993376923893831
0,GT,0.9920295234660083,0,0.45755723171280094
0,GT,1.0023158175937028,0,0.5000706087272546
0,GT,1.0107394098232751,0,0.46822060998069187
0,GT,1.009134116465191,0,0.5055920357904298
0,GT,0.9595439104166656,0,0.48983785131688284
0,GT,0.9386105361561421,0,0.5343343723806269
0,GT,0.9483391427203909,0,0.42434115277380413
0,GT,1.0088401892735752,0,0.4227918281058633
0,GT,0.982402239047152,0,0.5088406275144174
0,GT,0.997172573145034,0,0.4545338733620377
0,GT,0.9669219405105443,0,0.46632775201742654
0,GT,1.010190245385887,0,0.4300819944703402
0,GT,1.0092490801907001,0,0.45498024677099563
0,GT,0.9891554670421688,0,0.48214537786966233
0,GT,0.9765886062215114,0,0.4503608227714669
0,GT,0.9396064266051771,0,0.46779659953037506
0,GT,0.9674370004665286,0,0.45973837599350753
0,GT,0.9390772166192524,0,0.37770312021408636
0,GT,0.9689566721344396,0,0.45588845411470413
0,GT,0.9678136965248603,0,0.4757721402493594
0,GT,0.9508964680425142,0,0.4768757249735424
0,GT,0.9562155402053466,0,0.4827600367487938
0,GT,0.9563686699606264,0,0.4187240550893283
0,GT,0.9861724919696355,0,0.5057590901955763
0,GT,0.9930468393297518,0,0.4775628382954515
0,GT,0.996767635132829,0,0.45991755507606924
0,GT,1.015708103432944,0,0.4836583798011136
0,GT,0.9983106794271921,0,0.49722972570651375
0,GT,0.960919862051898,0,0.5277107713104183
0,GT,0.9811342215000535,0,0.5182848916273444
0,GT,0.9961600968010443,0,0.4550072920851128
0,GT,1.06805188165352,0,0.5536274649208257
0,GT,1.0459308283764985,0,0.47087207842772366
0,GT,0.9626797590388488,0,0.4677066368005857
0,GT,0.9934246534855787,0,0.4250749574976324
0,GT,0.961992490330471,0,0.46091475571352825
0,GT,0.9488192829021189,0,0.4064594579596612
0,GT,1.0100168488815693,0,0.480309532242305
0,GT,0.9524995844520121,0,0.44370280664749157
0,GT,1.0644386571653242,0,0.48278549776789687
0,GT,1.0670097053679752,0,0.5438446694470855
0,GT,0.9234721643298374,0,0.44002421831351407
0,GT,0.9871273267932966,0,0.4275296820223537
0,GT,1.0180488760478235,0,0.504088831599879
0,GT,0.9616353785042763,0,0.44101069758366057
0,GT,1.0056370516499487,0,0.44925874825896633
0,GT,1.0514295143745713,0,0.46187659336256676
