Model,Percentage,MSE,MAE,RMSE
Simulated,,0.04009827284991907,0.16021526875061118,0.2002455314106137
Simulated,,0.07686360226585627,0.22963670244155768,0.2772428579167663
Simulated,,0.393539656518329,0.48644549130363335,0.6273273918125439
Simulated,,0.06186655653428123,0.19049145422695468,0.24872988669293689
Simulated,,0.08067676188293539,0.23105490092469375,0.2840365502588274
Simulated,,0.0454588497749781,0.15558530865077916,0.21321081064284264
Simulated,,0.056662693112600034,0.18795148524017033,0.23803926800551214
Simulated,,0.04342266063548724,0.16595381903531853,0.20838104672807276
Simulated,,0.08766126644418039,0.23494572108921694,0.2960764537145438
Simulated,,0.05607227288938251,0.1980815729717762,0.2367958464360862
Simulated,,0.054891795825483265,0.18326377782702533,0.23428998234129275
Simulated,,0.09753259032772167,0.25786318071964326,0.312302081849804
Simulated,,0.08710403780107995,0.23194688322268728,0.2951339319717066
Simulated,,0.04954132117686079,0.18003529347432667,0.22257879768041877
Simulated,,0.1448419019611378,0.3154939036567776,0.3805810057808164
Simulated,,0.02359910796673598,0.12301141002848885,0.15362001160895666
Simulated,,0.05536157355866127,0.17943537849757146,0.23529040260635636
Simulated,,0.15812733308003937,0.3013654897875762,0.3976522765935578
Simulated,,0.11356157267287723,0.28206028828243357,0.3369889800466437
Simulated,,0.08461495684721627,0.2457465604789224,0.2908865016586646
Simulated,,0.042213422157310526,0.16779129710586585,0.20545905226421768
Simulated,,0.05731819542464787,0.1956551426772728,0.239412187293479
Simulated,,0.0670203811270147,0.2078239202295858,0.25888294869885636
Simulated,,0.03941848560137851,0.1600850929889572,0.1985408915094785
Simulated,,0.047324041554339676,0.18219664717938525,0.21754089628007806
Simulated,,0.07120389537061714,0.20869734263483908,0.2668405804419881
Simulated,,0.03682711453479748,0.15342791966468214,0.19190392006104898
Simulated,,0.03788836858344135,0.15659107165374977,0.19464934776012313
Simulated,,0.03354297888369552,0.14662573592321598,0.1831474239067957
Simulated,,0.10708690883279952,0.24113804006612127,0.3272413617390068
Simulated,,0.09304176785068555,0.22545990168437613,0.3050274870412264
Simulated,,0.034651143350083916,0.15196694257917917,0.18614817579037382
Simulated,,0.07029324303128875,0.194564707485448,0.26512872916998026
Simulated,,0.08077121383848399,0.226330284183184,0.28420276887898893
Simulated,,0.12659161830326726,0.28201932978644306,0.35579715893085384
Simulated,,0.10658803088419089,0.27561482890493616,0.3264782242113414
Simulated,,0.052011194329470885,0.17450222880114621,0.2280596288900578
Simulated,,0.0677808977772807,0.2104121205649104,0.2603476479196244
Simulated,,0.04889684684397213,0.17778174008726444,0.22112631422780088
Simulated,,0.0716375083177857,0.21513102026942496,0.2676518416110483
Simulated,,0.054412137955259884,0.18520874561887551,0.23326409486944166
Simulated,,0.08617959144713719,0.22445783107368217,0.29356360715718355
Simulated,,0.05808572874658435,0.2017938579867848,0.24100981047788148
Simulated,,0.17697278098791747,0.32983525256083873,0.42068132949765846
Simulated,,0.051931383303211065,0.16863056698173923,0.2278845832942875
Simulated,,0.0364800483011304,0.15554829419816596,0.19099750862545406
Simulated,,0.0534995970465806,0.18712651738288727,0.23129979906299228
Simulated,,0.03318267010969137,0.14554668765883,0.18216111031087664
Simulated,,0.1636150042615511,0.3322142327514591,0.40449351572250336
Simulated,,0.10192761538683225,0.26611249954500865,0.3192610458337068
Simulated,,0.04574776345771173,0.17037504085051,0.21388726810568162
Simulated,,0.2455479509757646,0.32940164179162357,0.49552795176030645
Simulated,,0.15107288666039173,0.29593119151081815,0.38868095741931036
Simulated,,0.02677447358415048,0.13625252646455488,0.16362907316290246
Simulated,,0.09444309355862356,0.23623691329499621,0.30731595070647333
Simulated,,0.034950666428518996,0.15681302761378746,0.18695097332862162
Simulated,,0.10566727589429037,0.2636222176086002,0.32506503333070197
Simulated,,0.049945003729771606,0.17935771228593966,0.22348378851668774
Simulated,,0.07506904622426057,0.22749669021118393,0.2739873103343667
Simulated,,0.052821003134377244,0.17392103520884647,0.2298282035224947
Simulated,,0.12222285659670502,0.28002065170540225,0.34960385666737864
Simulated,,0.047413821851144115,0.16097949790217891,0.21774715118950264
Simulated,,0.038179913046867235,0.16669125930777318,0.19539680920339317
Simulated,,0.10698070710277431,0.27680205187039886,0.327079053292586
Simulated,,0.05548938328138623,0.1897809805455983,0.2355618459797474
Simulated,,0.06698344761735892,0.20812686450641718,0.25881160641933915
Simulated,,0.05452256367277472,0.1869803090727156,0.23350067167521107
Simulated,,0.10661054986326023,0.2584925462929122,0.32651271010982136
Simulated,,0.04636023976234033,0.16614850735923656,0.21531428137107006
Simulated,,0.03305826026093007,0.14765422252506696,0.18181930662316934
Simulated,,0.07675190088784326,0.20372437370895094,0.27704133425870453
Simulated,,0.05728216573645683,0.1968623356526534,0.2393369293202719
Simulated,,0.06852063814252816,0.21591209194903868,0.2617644707414056
Simulated,,0.07491117453186749,0.2105196521289623,0.2736990583320803
Simulated,,0.06671866027979038,0.21536085608570618,0.258299555322479
Simulated,,0.03956441032950763,0.1564210262925126,0.198908044908967
Simulated,,0.03592332886727993,0.15148275432018354,0.18953450574309663
Simulated,,0.04551083385386114,0.17060010049784813,0.21333268351066403
Simulated,,0.06541776437123861,0.1928178794450623,0.2557689667869005
Simulated,,0.058102495778240774,0.18671894403495046,0.24104459292471336
Simulated,,0.09050763797001622,0.22613816824414754,0.30084487359770024
Simulated,,0.04376785832988671,0.17511820546817553,0.20920769185163032
Simulated,,0.11746281341316848,0.26070359819820094,0.34272848351598745
Simulated,,0.05867293357748738,0.19781778970831723,0.24222496481058137
Simulated,,0.051130424613265085,0.18415741873169864,0.22612037637786003
Simulated,,0.09434180257048902,0.24017067014050547,0.3071511070637529
Simulated,,0.08378483167704849,0.227319033014441,0.289456096285859
Simulated,,0.14971718924222338,0.2839885792754942,0.38693305524628335
Simulated,,0.10106748437937409,0.2654497436852917,0.3179111265422682
Simulated,,0.0658438568842057,0.20820811220831656,0.2566005784954619
Simulated,,0.061510027766112,0.20047179869230186,0.2480121524565117
Simulated,,0.06912126162616598,0.21790857611745593,0.2629092269703861
Simulated,,0.05581138260051806,0.19504390968685253,0.23624432818698116
Simulated,,0.0237082922466316,0.12345238808152517,0.15397497279308608
Simulated,,0.026823639555458623,0.1300971818784654,0.1637792403067575
Simulated,,0.09199788972428437,0.22156508299229885,0.30331153905561253
Simulated,,0.09420380072699178,0.24003452785867435,0.3069263767208543
Simulated,,0.03924739716449401,0.15666389131361882,0.19810955848846368
Simulated,,0.03596356491672056,0.14986473852949148,0.1896406204290646
Simulated,,0.05557005952234969,0.18466531736590774,0.23573302594746814
Simulated,,0.05403556475197025,0.18388737492464277,0.2324555113392028
Simulated,,0.06884873602335834,0.21443605361738519,0.262390426699143
Simulated,,0.11273680628686275,0.24960659509665606,0.33576302102355277
Simulated,,0.07010357810920329,0.212368566982596,0.2647708029772227
Simulated,,0.049651608697535606,0.19092009903065899,0.22282640933591244
Simulated,,0.07359582862394118,0.22935274357369922,0.2712855112680019
Simulated,,0.09833225888289646,0.24233102496497577,0.3135797488405405
Simulated,,0.0884449340158678,0.23426751789697808,0.2973969300713573
Simulated,,0.050802238875348425,0.17838231559005932,0.22539352003850605
Simulated,,0.06783729521542999,0.19675771757343377,0.2604559371859854
Simulated,,0.040843713816352226,0.16144849334969089,0.20209827761847013
Simulated,,0.2727086793848696,0.3910716994830195,0.522215165793631
Simulated,,0.09388517208268164,0.2356086401467567,0.3064068734259753
Simulated,,0.0373490995546347,0.15015481863535157,0.19325915128302387
Simulated,,0.10728508170449169,0.2782534076623421,0.327544014911724
Simulated,,0.04850772272232407,0.1791013343425611,0.22024468829536858
Simulated,,0.07531232450215825,0.2077473316497178,0.2744309102527597
Simulated,,0.03766225258612982,0.150472019160703,0.19406764950946825
Simulated,,0.06094664492318888,0.19681788165818448,0.24687374287920716
Simulated,,0.04883760466318279,0.17166930289477975,0.22099231810898495
Simulated,,0.03725216724611777,0.1552092484736625,0.19300820512640846
Simulated,,0.09557493075055866,0.26009548829655393,0.30915195414319907
Simulated,,0.0633167809506253,0.20583854919764663,0.25162825944361916
Simulated,,0.06084191004810684,0.1966320728903683,0.24666152932329524
Simulated,,0.18747931930952907,0.3373745891952918,0.4329888212292889
Simulated,,0.07467907471013162,0.2201380516503417,0.27327472387714824
Simulated,,0.05547153488191988,0.19150446212996328,0.2355239581909235
Simulated,,0.08688248084136595,0.22872934692737934,0.2947583431242718
Simulated,,0.09046563422916817,0.24104713910466397,0.30077505586263
Simulated,,0.17177528057962155,0.3505987804296352,0.41445781519911234
Simulated,,0.06776727941516061,0.2051481006776325,0.2603214924188178
Simulated,,0.06223898816449324,0.19523332274340016,0.24947743017053314
Simulated,,0.0705264763465383,0.2172477032998982,0.265568214111814
Simulated,,0.0580788410813828,0.17991695071419292,0.24099552087410836
Simulated,,0.07601421677523074,0.19885416313490392,0.2757067586680289
Simulated,,0.05323649596519465,0.18822978198847187,0.2307303533677237
Simulated,,0.04150071113990627,0.16061155067781652,0.20371723329140878
Simulated,,0.3019033669259829,0.420831246039912,0.5494573385859751
Simulated,,0.040939596577199415,0.15600942727433142,0.20233535671552666
Simulated,,0.03043152375725108,0.13844289714585176,0.1744463348919979
Simulated,,0.1404141167316477,0.3020335546570212,0.37471871681522356
Simulated,,0.05284386706248787,0.19049062830971028,0.22987793948634538
Simulated,,0.02745376305476218,0.13213705108094134,0.16569177123430778
Simulated,,0.07508890107071073,0.22504885760900878,0.27402354108855453
Simulated,,0.06556165614752778,0.20029869922696816,0.25605010475984535
Simulated,,0.051336589820222024,0.17224304959910186,0.2265757926615772
Simulated,,0.12833136498446973,0.2581419529649066,0.3582336737165697
Simulated,,0.027047652559744093,0.1311864890246342,0.1644617054506735
Simulated,,0.07949483481045248,0.23069333502145248,0.28194828392890153
Simulated,,0.1568361730017721,0.31305936355039343,0.39602547014273226
Simulated,,0.12953536781463515,0.2926736514870516,0.3599102218812841
Simulated,,0.06148613964762512,0.20487667689982306,0.24796398861049385
Simulated,,0.041416883567513454,0.1628844281106398,0.20351138436832827
Simulated,,0.17688391420598037,0.3573623137301556,0.42057569378885934
Simulated,,0.05722243676265366,0.19600328021540442,0.23921211667190617
Simulated,,0.06026583871155767,0.18944353825116045,0.24549101554141992
Simulated,,0.09446808049205409,0.2129427369932747,0.30735660151045086
Simulated,,0.06013904457141914,0.18830388171466853,0.24523263357762795
Simulated,,0.06036535757050966,0.19851820530674164,0.24569362541691972
Simulated,,0.03712484313726528,0.15406089222285127,0.19267808162130243
Simulated,,0.11693484998395116,0.25920730831144617,0.34195738036186785
Simulated,,0.043196979916310024,0.16526755985216007,0.20783883158907054
Simulated,,0.05912127181244788,0.19747615640376665,0.24314866195899143
Simulated,,0.03724791546563458,0.1635403368106234,0.1929971903050264
Simulated,,0.036328911685292904,0.1469647865841316,0.1906014472276979
Simulated,,0.1175505192884955,0.25391142859072313,0.3428564120568485
Simulated,,0.03279793138819592,0.1489943280237741,0.18110199167374147
Simulated,,0.10301353806413464,0.2539791782808599,0.3209572215485027
Simulated,,0.09221831938735038,0.25275018345433337,0.3036746933600994
Simulated,,0.04165932809588665,0.16533026258794956,0.2041061686865114
Simulated,,0.05413601688880083,0.18808291697134663,0.2326714784600829
Simulated,,0.05207050636537836,0.16947125074885086,0.22818962808457874
Simulated,,0.05574838529518152,0.19390558074770417,0.23611095971000906
Simulated,,0.04026209401739268,0.16169756353219922,0.20065416521316642
Simulated,,0.08054720168718,0.22144305373005874,0.283808389035948
Simulated,,0.06108237131180513,0.19809595006448738,0.2471484802943468
Simulated,,0.07016662280199429,0.22027082291627123,0.2648898314431762
Simulated,,0.21858400845474396,0.3681553452725771,0.46752968724429034
Simulated,,0.16460113285000846,0.29352941580553626,0.40571065163489173
Simulated,,0.0298503006604573,0.14477988529322158,0.1727723955394996
Simulated,,0.0782479266502561,0.2213971642799891,0.27972830863224424
Simulated,,0.0612626900286197,0.19767490231699242,0.2475130098168977
Simulated,,0.2404196658670657,0.3673743149173496,0.4903260811613693
Simulated,,0.1542016438145224,0.3084201303038227,0.39268517137081
Simulated,,0.015781380887805122,0.10134027685077267,0.12562396621586633
Simulated,,0.09662533917556601,0.22639149991078042,0.31084616641606827
Simulated,,0.04083415618651153,0.15683452316319263,0.20207463023970013
Simulated,,0.08683686460526072,0.21875363114803684,0.2946809539234945
Simulated,,0.06499750041282133,0.19499093729179837,0.2549460735387414
Simulated,,0.05014974519826873,0.1828193121733462,0.22394138786358525
Simulated,,0.06102676917382528,0.19704645456349887,0.2470359673687726
