,Medialness,Angle,Orthogonality
0,0.9626064788041491,0.1398570615911301,0.3970943462257146
0,0.9449761555702239,0.12807299598519342,0.33211585727921894
0,0.9587810204176758,0.14769912435336263,0.247208539524255
0,1.0006919734006177,0.22612021824762757,0.34088415921661863
0,1.0232300530661669,0.15755232723105345,0.28698715938011965
0,0.9802475226869756,0.13663777120131548,0.2052069927101769
0,0.9700343802838695,0.23285877287985762,0.2963661599465298
0,0.968790524006309,0.13675751639903155,0.41126403591236876
0,0.9606096373318782,0.13320851156121438,0.23362760825183407
0,0.9710131234674158,0.16623614426686778,0.2267203675824486
0,0.9770892071945467,0.17989965999793964,0.2827032705742422
0,0.9734480754437843,0.17018510562573946,0.28533983923649503
0,1.0087989449838985,0.1821376717251036,0.2228805012115716
0,0.9977893285910973,0.16074352055770347,0.3018600566514403
0,0.9598540320271872,0.12216222800400625,0.2680366310153821
0,0.9417319599731564,0.1707882906191059,0.40311073639017947
0,0.984057056120309,0.12107513499223747,0.39112668547103885
0,0.9565418859378005,0.11921969181780664,0.2700966777923461
0,0.9541550114718476,0.12120930114451767,0.3068951234708101
0,0.9929775179321473,0.1559205995671649,0.26209234939673587
0,0.9675747322142416,0.15580694001801831,0.3443948520761729
0,0.983846043661522,0.20125662722927373,0.3000478429220009
0,0.9648271871759714,0.17776961800788693,0.3117029190006446
0,1.0300185109016693,0.19819309299424248,0.36996996783254504
0,1.1177381054590347,0.315111944665119,0.2865423802840446
0,0.9625037405597654,0.15679015378852396,0.2579363413613646
0,0.9580065482664869,0.13501099053900062,0.41376801562233684
0,0.9887558890931213,0.17269148512961932,0.2734188313590507
0,0.9725536742287059,0.13412225988626703,0.2174638094354261
0,0.9962970466169526,0.1942352174312572,0.25828564490433903
0,0.9892812256759156,0.18265248400320955,0.3057372158347812
0,1.0059167770539372,0.2108168803565129,0.21428632270220876
0,1.0031136609418116,0.14376129507833502,0.3709795950682971
0,1.0399870548302617,0.2195268111690035,0.3162451869185379
0,1.044475593762648,0.20812801405023088,0.36610525781748676
0,1.027530619970577,0.23343530797224565,0.45627344786803653
0,0.95129986381064,0.10956085072079905,0.23797882895241293
0,0.9808185520029894,0.18028216782463988,0.34298233927242283
0,0.9500638939640758,0.153298506743075,0.37257729751075197
0,0.9536107958209294,0.17445421156501953,0.2514717660440583
0,0.96266398539921,0.1842077627752041,0.2799158052426373
0,0.9565792498910469,0.1431628630391779,0.315380124217018
0,0.9795280480142631,0.19101473351451573,0.3731720752842127
0,0.9796096305931893,0.1546763912549621,0.255366643912878
0,0.9999430249500157,0.1590790213843845,0.3158034359840084
0,1.029532323083179,0.17148783297559872,0.3421277868212851
0,0.9591689037656147,0.12926766340348958,0.23586158270083984
0,0.971642984429211,0.24475334310825195,0.32662226117335946
0,1.0126751360662425,0.1772424963014807,0.38914273014278894
0,0.9742898814617436,0.1278894647978829,0.2680308347387089
